# r	rdf(r)
27.765 0.995619
27.795 0.995695
27.825 0.995772
27.855 0.99585
27.885 0.995929
27.915 0.996009
27.945 0.996091
27.975 0.996173
28.005 0.996257
28.035 0.996342
28.065 0.996428
28.095 0.996515
28.125 0.996603
28.155 0.996693
28.185 0.996784
28.215 0.996876
28.245 0.996969
28.275 0.997063
28.305 0.997159
28.335 0.997256
28.365 0.997354
28.395 0.997454
28.425 0.997555
28.455 0.997657
28.485 0.997761
28.515 0.997865
28.545 0.997972
28.575 0.998079
28.605 0.998188
28.635 0.998298
28.665 0.99841
28.695 0.998523
28.725 0.998637
28.755 0.998753
28.785 0.998871
28.815 0.998989
28.845 0.999109
28.875 0.999231
28.905 0.999354
28.935 0.999479
28.965 0.999605
28.995 0.999732
29.025 0.999862
29.055 0.999992
29.085 1.00012
29.115 1.00026
29.145 1.00039
29.175 1.00053
29.205 1.00067
29.235 1.00081
29.265 1.00095
29.295 1.00109
29.325 1.00124
29.355 1.00138
29.385 1.00153
29.415 1.00168
29.445 1.00183
29.475 1.00199
29.505 1.00214
29.535 1.0023
29.565 1.00246
29.595 1.00262
29.625 1.00278
29.655 1.00294
29.685 1.0031
29.715 1.00327
29.745 1.00344
29.775 1.00361
29.805 1.00378
29.835 1.00396
29.865 1.00413
29.895 1.00431
29.925 1.00449
29.955 1.00467
29.985 1.00485
